Sample	pH	Round	Ligand	Measure
BLGCAD	9	3	CAD5	0
BLGCAD	9	3	CAD6	0
BLGCAD	9	3	CAD7	0
BLGCAD	9	3	CAD8	0
BLGCAD	9	3	CAD9	1
BLGCAD	9	3	CAD10	0
BLGCLA	9	1	CLA1	1
BLGCLA	9	1	CLA2	0
BLGCLA	9	1	CLA3	1
BLGCLA	9	1	CLA4	2
BLGCLA	9	1	CLA5	0
BLGCLA	9	1	CLA6	0
BLGCLA	9	1	CLA7	0
BLGCLA	9	1	CLA8	0
BLGCLA	9	1	CLA9	0
BLGCLA	9	1	CLA10	0
BLGCLA	9	2	CLA1	0
BLGCLA	9	2	CLA2	1
BLGCLA	9	2	CLA3	1
BLGCLA	9	2	CLA4	0
BLGCLA	9	2	CLA5	0
BLGCLA	9	2	CLA6	0
BLGCLA	9	2	CLA7	0
BLGCLA	9	2	CLA8	3
BLGCLA	9	2	CLA9	0
BLGCLA	9	2	CLA10	0
BLGCLA	9	3	CLA1	1
BLGCLA	9	3	CLA2	0
BLGCLA	9	3	CLA3	0
BLGCLA	9	3	CLA4	2
BLGCLA	9	3	CLA5	0
BLGCLA	9	3	CLA6	0
BLGCLA	9	3	CLA7	0
BLGCLA	9	3	CLA8	0
BLGCLA	9	3	CLA9	0
BLGCLA	9	3	CLA10	0
BLGCLAB	9	1	CLAB1	1
BLGCLAB	9	1	CLAB2	0
BLGCLAB	9	1	CLAB3	0
BLGCLAB	9	1	CLAB4	0
BLGCLAB	9	1	CLAB5	0
BLGCLAB	9	1	CLAB6	0
BLGCLAB	9	1	CLAB7	0
BLGCLAB	9	1	CLAB8	0
BLGCLAB	9	1	CLAB9	0
BLGCLAB	9	1	CLAB10	0
BLGCLAB	9	2	CLAB1	0
BLGCLAB	9	2	CLAB2	1
BLGCLAB	9	2	CLAB3	0
BLGCLAB	9	2	CLAB4	0
BLGCLAB	9	2	CLAB5	0
BLGCLAB	9	2	CLAB6	0
BLGCLAB	9	2	CLAB7	0
BLGCLAB	9	2	CLAB8	0
BLGCLAB	9	2	CLAB9	0
BLGCLAB	9	2	CLAB10	0
BLGCLAB	9	3	CLAB1	1
BLGCLAB	9	3	CLAB2	0
BLGCLAB	9	3	CLAB3	0
BLGCLAB	9	3	CLAB4	0
BLGCLAB	9	3	CLAB5	0
BLGCLAB	9	3	CLAB6	0
BLGCLAB	9	3	CLAB7	0
BLGCLAB	9	3	CLAB8	0
BLGCLAB	9	3	CLAB9	0
BLGCLAB	9	3	CLAB10	0
BLGCLAD	9	1	CLAD1	0
BLGCLAD	9	1	CLAD2	1
BLGCLAD	9	1	CLAD3	0
BLGCLAD	9	1	CLAD4	0
BLGCLAD	9	1	CLAD5	0
BLGCLAD	9	1	CLAD6	0
BLGCLAD	9	1	CLAD7	0
BLGCLAD	9	1	CLAD8	0
BLGCLAD	9	1	CLAD9	0
BLGCLAD	9	1	CLAD10	0
BLGCLAD	9	2	CLAD1	0
BLGCLAD	9	2	CLAD2	0
BLGCLAD	9	2	CLAD3	0
BLGCLAD	9	2	CLAD4	0
BLGCLAD	9	2	CLAD5	0
BLGCLAD	9	2	CLAD6	0
BLGCLAD	9	2	CLAD7	1
BLGCLAD	9	2	CLAD8	0
BLGCLAD	9	2	CLAD9	0
BLGCLAD	9	2	CLAD10	0
BLGCLAD	9	3	CLAD1	1
BLGCLAD	9	3	CLAD2	0
BLGCLAD	9	3	CLAD3	0
BLGCLAD	9	3	CLAD4	0
BLGCLAD	9	3	CLAD5	0
BLGCLAD	9	3	CLAD6	0
BLGCLAD	9	3	CLAD7	0
BLGCLAD	9	3	CLAD8	0
BLGCLAD	9	3	CLAD9	0
BLGCLAD	9	3	CLAD10	2
